String
"23/04/2023, 20:53 - Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more."
"23/04/2023, 20:53 - Wole Solanke created group ""Product development"""
"23/04/2023, 20:53 - Wole Solanke added you"
"23/04/2023, 20:53 - +27 78 419 6615: Holla!"
"23/04/2023, 20:53 - Wole Solanke changed the subject from ""Product development"" to ""KaraSell"""
"23/04/2023, 20:54 - Wole Solanke: Got ya"
"23/04/2023, 20:59 - W2W3: Hey!"
"23/04/2023, 21:03 - W2W3: Is this another number apart from your number?"
"23/04/2023, 21:17 - Wole Solanke: Same number different group"
"23/04/2023, 21:18 - W2W3: Sure..."
"23/04/2023, 21:18 - You started a call"
"23/04/2023, 21:23 - W2W3: And I'll keep you  oth in the loop right here. "
"23/04/2023, 21:23 - W2W3: Deciding on a company name is different from a rechnical handle for internal use. "
"23/04/2023, 21:23 - W2W3: Decision making is a superpower and concurrency is a factor we will learn to harness in the course of production"
"23/04/2023, 21:36 - W2W3: My personal detail sent to your email. Please keep confidential at all tjmes"
"23/04/2023, 22:33 - W2W3: Got it. Sent you £49"
"23/04/2023, 22:33 - W2W3: And away we go partner. "
"23/04/2023, 22:33 - W2W3: We are jn business means I can commit energy into this enterprise and in 3 months,  make of each party a millionaire by pound Sterlin Measure."
"23/04/2023, 22:33 - W2W3: We need a quality on,ine presence as a company. "
"23/04/2023, 22:33 - W2W3: In this country, there's no binding contract without exchange of money"
"23/04/2023, 22:33 - W2W3: You have now committed in the eyes of King and Country and that's all that  Tters to me"
"23/04/2023, 22:33 - W2W3: Strategic associations, affiliations and partnerships will determine how we bid for the success along with the competition in triumph. Microsoft partnership is a key element of my practice experience and knowledge, the difference between paying too much and being paid doing exactly the same thing. I intend to harness the prestige, facilities and technical superiority marked in scaled revenue in the capital market of registered Microsoft Partners. There even a spark program for first year businesses with training, and *go to market* support. The  there's access to government funding jn the innovate program."
"23/04/2023, 22:36 - W2W3: I'm celebrating today as an occasion 30 years in the making. Our meeting went like a dream, everything was perfect pitch, like the dream but better when as Wole committed £49 into a petty cash register for my use, I knew it was on an celebrate with a plate of yogurt and cashew nuts."
"23/04/2023, 22:36 - W2W3: Cheers Guys, fasten your seat belts and engage your hyperdrjves from here to the 7sterling figure"
"23/04/2023, 23:31 - W2W3: FXN9JR "
"23/04/2023, 23:31 - W2W3: FX9JR"
"23/04/2023, 23:31 - W2W3: FXN9JR DIGITAL"
"23/04/2023, 23:31 - W2W3: FXCash9JR"
"23/04/2023, 23:31 - W2W3: FX OluCash..."
